,food,size,price
147,Mozza-Loaded Crust,Medium,15.24
148,"Original, Golden or Thin Crust",Large,18.69
149,Mozza-Loaded Crust,Large,18.74
150,Original or Thin Crust,Jumbo,21.99
153,Original Crust,Mini,4.99
154,Original or Golden Crust,Small,14.39
155,"Original, Golden or Thin Crust",Medium,17.69
156,Mozza-Loaded Crust,Medium,16.99
157,"Original, Golden or Thin Crust",Large,21.39
158,Mozza-Loaded Crust,Large,20.99
159,Original or Thin Crust,Jumbo,24.99
161,Jumbo Chicken Bites,Half Pound,5.59
162,Jumbo Chicken Bites,1 Pound,8.19
163,Potato Wedges,16 oz.,4.99
164,Garden Salad,,3.49
165,Extra Dressing,,0.5
168,Bone In or Bone Out Wings,Small,6.99
169,Bone In or Bone Out Wings,Medium,9.99
171,Breadsticks,,4.99
172,Cheesesticks,Small,4.99
173,Cheesesticks,Medium,5.99
174,Cheesesticks,Large,7.99
175,Super Sticks,Small,5.99
176,Super Sticks,Medium,6.99
177,Super Sticks,Large,8.99
178,Garlic Bread,,3.99
179,Garlic Cheese Bread,,4.99
180,Italian Monkey Bread,,5.99
182,Cherry Cheesecake or Caramel Apple Streusel,Small,4.99
183,Cherry Cheesecake or Caramel Apple Streusel,Medium,6.49
184,Cherry Cheesecake or Caramel Apple Streusel,Large,7.99
185,"Cinnamon, Apple or Cherry Streusel",Small,5.99
186,"Cinnamon, Apple or Cherry Streusel",Medium,6.99
187,"Cinnamon, Apple or Cherry Streusel",Large,9.99
188,Strawberry Lemonade Streusel,Small,3.99
189,Cinnamon Monkey Bread,,5.99
190,Streusel Monkey Bread,,4.99
191,Caramel Monkey Bread,,5.99
192,Chocolate Chip Cookie,,5.99
193,Monkey Bread with M&M MINIs,Small,5.99
195,Soda,2 Liter Bottle,2.49
196,Fountain Soda,Regular,1.99
197,Fountain Soda,Large,2.19
199,Any Mini Pizza & 1 Side,,6.99
200,Any Small Pizza & 1 Side,,12.99
201,Any Medium 1- Topping Pizza & 1 Side,,12.99
202,Large 2-Toppings Pizza & 1 Side,,16.99
203,Any Medium Specialty Pizza & 1 Side,,16.99
204,Any Large Specialty Pizza & 2 Sides,,22.99
205,"Small Specialty Pizza, Medium 1-Topping Pizza & 2 Sides",,22.99
206,"Medium Specialty Pizza, Medium 1-Topping Pizza & 2 Sides",,27.99
207,Jumbo 2-Toppings Pizza & 2 Sides,,27.99
